KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
14,1,0.5,4.20976e+07,4.53364e+07,11643550,22049350,1.85712,2,32
14,1,0.8,4.652e+07,4.53364e+07,8788955,27758540,2.05221,2,33
14,0.1,0.3,4.19972e+07,4.53364e+07,12787619,19761212,1.85269,2,32
14,0.1,0.5,4.24306e+07,4.53364e+07,11643550,22049350,1.87181,2,32
14,0.1,0.8,4.67272e+07,4.53364e+07,8788955,27758540,2.06135,2,33
14,10,0.3,4.25035e+07,4.53364e+07,20558451,4219548,1.87503,2,30
14,10,0.5,4.21842e+07,4.53364e+07,11643550,22049350,1.86094,2,32
14,10,0.8,5.05776e+07,4.53364e+07,8272298,28791854,2.23121,2,34
14,0.01,0.3,4.2624e+07,4.53364e+07,12787619,19761212,1.88034,2,32
14,0.01,0.5,4.29271e+07,4.53364e+07,11643550,22049350,1.89371,2,32
14,0.01,0.8,4.71073e+07,4.53364e+07,8788955,27758540,2.07812,2,33
14,100,0.3,4.52928e+07,4.53364e+07,22667602,1246,1.99808,2,30
14,100,0.5,4.31629e+07,4.53364e+07,11643550,22049350,1.90411,2,32
14,100,0.8,5.05776e+07,4.53364e+07,8272298,28791854,2.23121,2,34
16,1,0.3,4.33047e+07,4.53364e+07,10956688,23423074,1.91037,2,39
16,1,0.5,4.37669e+07,4.53364e+07,9685686,25965078,1.93076,2,39
16,1,0.8,4.85018e+07,4.53364e+07,6457489,32421472,2.13964,2,40
16,0.1,0.3,4.35464e+07,4.53364e+07,10956688,23423074,1.92103,2,40
16,0.1,0.5,4.39919e+07,4.53364e+07,9685686,25965078,1.94069,2,39
16,0.1,0.8,4.7644e+07,4.53364e+07,6965438,31405574,2.1018,2,40
16,10,0.3,4.45446e+07,4.53364e+07,18682709,7971032,1.96507,2,37
16,10,0.5,4.38677e+07,4.53364e+07,9685686,25965078,1.93521,2,39
16,10,0.8,5.23316e+07,4.53364e+07,5929403,33477644,2.30859,2,41
16,0.01,0.3,4.3894e+07,4.53364e+07,10956688,23423074,1.93636,2,39
16,0.01,0.5,4.43293e+07,4.53364e+07,9685686,25965078,1.95557,2,39
16,0.01,0.8,4.79966e+07,4.53364e+07,6965438,31405574,2.11735,2,40
16,100,0.3,4.52929e+07,4.53364e+07,22667569,1312,1.99808,2,36
16,100,0.5,4.47821e+07,4.53364e+07,9685686,25965078,1.97555,2,39
16,100,0.8,5.23316e+07,4.53364e+07,5929403,33477644,2.30859,2,41
