KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
14,1,0.3,1.03831e+06,1.19437e+06,29247,141377,6.08536,7,0
14,1,0.5,1.0307e+06,1.19437e+06,22678,147946,6.04076,7,0
14,1,0.8,1.02202e+06,1.19437e+06,17468,153156,5.9899,7,0
14,0.1,0.3,1.03851e+06,1.19437e+06,26690,143934,6.08652,7,0
14,0.1,0.5,1.0335e+06,1.19437e+06,22678,147946,6.05716,7,0
14,0.1,0.8,1.02325e+06,1.19437e+06,17468,153156,5.99713,7,0
14,10,0.3,1.0597e+06,1.19437e+06,50325,120299,6.21073,7,0
14,10,0.5,1.03001e+06,1.19437e+06,22678,147946,6.03675,7,0
14,10,0.8,1.02339e+06,1.19437e+06,16799,153825,5.99792,7,0
14,0.01,0.3,1.04306e+06,1.19437e+06,26690,143934,6.1132,7,0
14,0.01,0.5,1.03757e+06,1.19437e+06,22678,147946,6.08106,7,0
14,0.01,0.8,1.02525e+06,1.19437e+06,17468,153156,6.00881,7,0
14,100,0.3,1.10557e+06,1.19437e+06,170323,301,6.47959,7,0
14,100,0.5,1.03033e+06,1.19437e+06,22678,147946,6.0386,7,0
14,100,0.8,1.02339e+06,1.19437e+06,16799,153825,5.99792,7,0
16,1,0.3,1.05067e+06,1.19437e+06,20375,150249,6.1578,7,0
16,1,0.5,1.04628e+06,1.19437e+06,16009,154615,6.13208,7,0
16,1,0.8,1.04096e+06,1.19437e+06,11998,158626,6.10087,7,0
16,0.1,0.3,1.05268e+06,1.19437e+06,20375,150249,6.16961,7,0
16,0.1,0.5,1.04806e+06,1.19437e+06,16009,154615,6.14249,7,0
16,0.1,0.8,1.04243e+06,1.19437e+06,12363,158261,6.10953,7,0
16,10,0.3,1.0668e+06,1.19437e+06,40244,130380,6.25233,7,0
16,10,0.5,1.04592e+06,1.19437e+06,16009,154615,6.12999,7,0
16,10,0.8,1.0423e+06,1.19437e+06,11590,159034,6.10873,7,0
16,0.01,0.3,1.05573e+06,1.19437e+06,20375,150249,6.18747,7,0
16,0.01,0.5,1.05067e+06,1.19437e+06,16009,154615,6.1578,7,0
16,0.01,0.8,1.044e+06,1.19437e+06,12363,158261,6.11874,7,0
16,100,0.3,1.10558e+06,1.19437e+06,170321,303,6.47962,7,0
16,100,0.5,1.04623e+06,1.19437e+06,16009,154615,6.1318,7,0
16,100,0.8,1.0423e+06,1.19437e+06,11590,159034,6.10874,7,0
