KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
14,1,0.5,4.20978e+07,4.53364e+07,11643550,11024675,1.85713,2,33
14,1,0.8,4.65202e+07,4.53364e+07,8788955,13879270,2.05222,2,35
14,0.1,0.3,4.19974e+07,4.53364e+07,12787619,9880606,1.8527,2,34
14,0.1,0.5,4.24308e+07,4.53364e+07,11643550,11024675,1.87182,2,34
14,0.1,0.8,4.67274e+07,4.53364e+07,8788955,13879270,2.06136,2,35
14,10,0.3,4.25037e+07,4.53364e+07,20558451,2109774,1.87503,2,32
14,10,0.5,4.21844e+07,4.53364e+07,11643550,11024675,1.86095,2,34
14,10,0.8,5.05777e+07,4.53364e+07,8272298,14395927,2.23122,2,36
14,0.01,0.3,4.26242e+07,4.53364e+07,12787619,9880606,1.88035,2,34
14,0.01,0.5,4.29273e+07,4.53364e+07,11643550,11024675,1.89372,2,34
14,0.01,0.8,4.71075e+07,4.53364e+07,8788955,13879270,2.07813,2,35
14,100,0.3,4.5293e+07,4.53364e+07,22667602,623,1.99808,2,31
14,100,0.5,4.31631e+07,4.53364e+07,11643550,11024675,1.90412,2,34
14,100,0.8,5.05777e+07,4.53364e+07,8272298,14395927,2.23122,2,37
16,1,0.3,4.33049e+07,4.53364e+07,10956688,11711537,1.91038,2,42
16,1,0.5,4.3767e+07,4.53364e+07,9685686,12982539,1.93077,2,41
16,1,0.8,4.8502e+07,4.53364e+07,6457489,16210736,2.13965,2,42
16,0.1,0.3,4.35466e+07,4.53364e+07,10956688,11711537,1.92104,2,42
16,0.1,0.5,4.39921e+07,4.53364e+07,9685686,12982539,1.94069,2,41
16,0.1,0.8,4.76442e+07,4.53364e+07,6965438,15702787,2.10181,2,42
16,10,0.3,4.45447e+07,4.53364e+07,18682709,3985516,1.96507,2,39
16,10,0.5,4.38679e+07,4.53364e+07,9685686,12982539,1.93522,2,41
16,10,0.8,5.23318e+07,4.53364e+07,5929403,16738822,2.3086,2,43
16,0.01,0.3,4.38941e+07,4.53364e+07,10956688,11711537,1.93637,2,41
16,0.01,0.5,4.43294e+07,4.53364e+07,9685686,12982539,1.95558,2,41
16,0.01,0.8,4.79968e+07,4.53364e+07,6965438,15702787,2.11736,2,42
16,100,0.3,4.5293e+07,4.53364e+07,22667569,656,1.99809,2,38
16,100,0.5,4.47823e+07,4.53364e+07,9685686,12982539,1.97555,2,40
16,100,0.8,5.23318e+07,4.53364e+07,5929403,16738822,2.3086,2,42
